Last updated: 2023-10-06
Mtg #	Drug Generic Name	Drug Brand Name	Drug Class	FDA-Approved Indications	Pharmacologic Activity	Drug Target	Target Class & Location	Target Normal Role (Physiology)	Mechanism of Action (MOA)
	metformin	Glucophage, Glumetza, Riomet	antidiabetic agent, biguanide 	diabetes mellitus, type 2 (T2DM)	activator	AMP-activated protein kinase (AMPK)	heterotrimeric kinase expressed in liver cells [and all cells]	Normally, AMP-activated protein kinase (AMPK) is a master regulator of cellular energy homeostasis that responds to changes in the ratio of [AMP] to [ATP]. When cellular energy is low, AMPK is activated and prompts a switch from ATP-utilizing anabolic pathways to ATP-producing catabolic pathways. In the liver, especially, glycolysis is stimulated while the expression of genes for enzymes involved in gluconeogenesis is repressed. The net outcome is that glucose is transported from the blood into liver cells and then catabolized to produce ATP.	Biguanides activate AMPK in liver cells to stimulate glycolytic processes that would be active under conditions of low ATP concentration and repression of the expression of genes for enzymes involved in gluconeogenesis. The net outcome is that glucose is transported from the blood into liver cells and then catabolized (to produce ATP), thereby lowering the blood glucose conentration.
	metformin + sitagliptin	Janumet
	Week 06
11	atorvastatin	Lipitor	antilipemic agent, HMG-CoA reductase inhibitor	hypercholesterolemia	reversible competitive inhibitor	HMG-CoA reductase	oxidoreductase expressed in liver cells	HMG-CoA reductase catalyzes the conversion of HMG-CoA to mevalonic acid, the rate-limiting step in the mevalonate biosynthetic pathway that provides cholesterol and other isoprenoids	As competitive HMG-CoA reductase inhibitors, statins block cholesterol biosynthesis. This induces LDL receptor expression in the liver which increases reuptake of LDL, increases catabolism of plasma LDL, and lowers the plasma concentration of cholesterol.
	lovastatin	Mevacor; Altoprev	antilipemic agent, HMG-CoA reductase inhibitor	hypercholesterolemia	reversible competitive inhibitor	HMG-CoA reductase	oxidoreductase expressed in liver cells	HMG-CoA reductase catalyzes the conversion of HMG-CoA to mevalonic acid, the rate-limiting step in the mevalonate biosynthetic pathway that provides cholesterol and other isoprenoids	As a competitive HMG-CoA reductase inhibitor, statins block cholesterol biosynthesis. This induces LDL receptor expression in the liver which increases reuptake of LDL, increases catabolism of plasma LDL, and lowers the plasma concentration of cholesterol.
	pravastatin	Pravachol	antilipemic agent, HMG-CoA reductase inhibitor	hypercholesterolemia	reversible competitive inhibitor	HMG-CoA reductase	oxidoreductase expressed in liver cells	HMG-CoA reductase catalyzes the conversion of HMG-CoA to mevalonic acid, the rate-limiting step in the mevalonate biosynthetic pathway that provides cholesterol and other isoprenoids	As a competitive HMG-CoA reductase inhibitor, statins block cholesterol biosynthesis. This induces LDL receptor expression in the liver which increases reuptake of LDL, increases catabolism of plasma LDL, and lowers the plasma concentration of cholesterol.
	rosuvastatin	Crestor	antilipemic agent, HMG-CoA reductase inhibitor	hypercholesterolemia	reversible competitive inhibitor	HMG-CoA reductase	oxidoreductase expressed in liver cells	HMG-CoA reductase catalyzes the conversion of HMG-CoA to mevalonic acid, the rate-limiting step in the mevalonate biosynthetic pathway that provides cholesterol and other isoprenoids	As a competitive HMG-CoA reductase inhibitor, statins block cholesterol biosynthesis. This induces LDL receptor expression in the liver which increases reuptake of LDL, increases catabolism of plasma LDL, and lowers the plasma concentration of cholesterol.
	simvastatin	Zocor	antilipemic agent, HMG-CoA reductase inhibitor	hypercholesterolemia	reversible competitive inhibitor	HMG-CoA reductase	oxidoreductase expressed in liver cells	HMG-CoA reductase catalyzes the conversion of HMG-CoA to mevalonic acid, the rate-limiting step in the mevalonate biosynthetic pathway that provides cholesterol and other isoprenoids	As a competitive HMG-CoA reductase inhibitor, statins block cholesterol biosynthesis. This induces LDL receptor expression in the liver which increases reuptake of LDL, increases catabolism of plasma LDL, and lowers the plasma concentration of cholesterol.
	ezetimibe	Zetia	antilipemic agent, 2-azetidinone 	hypercholesterolemia	reversible non-competitve inhibitor	Niemann-Pick C1-Like 1 (NPC1L1)	transporter found on the epithelial cells in the intestinal tract	NPC1L1 transports dietary cholesterol from the intestinal lumen into the membrane of the epithelial cells, from which the cholesterol can be transported to the liver	2-Azetidinone antilipemic agents bind to the extracellular loop of NPC1L1 to prevent the conformational changes required for the N-terminal domain to deposit cholesterol into the microdomains. This inhibits NPC1L1, thereby reducing the transport of dietary cholesterol to the liver and decreases total cholesterol, LDL, ApoB, and TG, while increasing HDL
	fenofibrate	Tricor	antilipemic agent, fibric acid	hypercholesterolemia	agonist	PPAR-alpha	heterodimeric nuclear receptor expressed in liver cells [and other cells]	As a nuclear receptor, PPAR-alpha is a ligand-activated transcription factor and a major regulator of lipid metabolism in the liver. Normally, its activation by endogenous ligands such as arachidonic acid and polyunsaturated fatty acids results in reuptake, utilization, and catabolism of fatty acids by upregulation of genes involved in fatty acid transport, binding, and activation, and peroxisomal and mitochondrial fatty acid beta-oxidation.	As an agonist, fibrates promote uptake, utilization, and catabolism of fatty acids by upregulation of genes involved in fatty acid transport, binding, and activation, and peroxisomal and mitochondrial fatty acid beta-oxidation. This results in decreased LDL and TG concentrations and increased HDL concentrations.
	lidocaine	Xylocaine	antiarrhythmic agent, class Ib; local anesthetic	arrhythmias [specifically: acute treatment of ventricular arrhythmias (e.g., due to myocardial infarction or during cardiac manipulation); also local and regional anesthesia]	blocker	voltage-gated sodium (NaV) channels	voltage-gated ion channel (VGIC) expressed on cardiomyocytes  [Also expressed on muscle and nerve cells (i.e., those that use an action potential)]	In the depolarization phase (Phase 0) of the cardiac action potential, NaV channels change conformation from closed (C) to open (O) to allow Na+ influx into the cell, further depolarizing it to create an action potential. In cardiomyocytes, this is responsible for heart contraction. During the plateau phase (Phase 2) of the cardiac action potential, there is a slow change in NaV conformation from O to inactivated (I); completion of the shift to the inactivated conformation then allows the cell to repolarize to respond to the next stimulus. 	Class Ib AAAs bind with low affinity to resting NaV channels and prevents them from opening, thereby suppressing the flow of Na+ into the cardiomyocyte and slowing the rise of the cardiac action potential during phase 0, thereby increasing the effective threshold potential. Lidocaine binds with higher affinity to inactivated NaV channels during phase 2, effectively immobilizing the intracellular (inactivation) gate, such that NaV channels cannot recover from inactivation before the AAA unbinds. This quickens the onset of repolarization to  decrease the initiation and conduction of nerve impulses across the myocardial tissue especially in the ventricles.
	amiodarone	Cordarone	antiarrhythmic agent, class III	arrhythmias [specifically: acute treatment of ventricular arrhythmias (e.g., due to myocardial infarction or during cardiac manipulation); also local and regional anesthesia]	blocker	voltage-gated potassium (KV) channels	VGIC expressed on cardiomyocytes  [Also expressed on muscle and nerve cells (i.e., those that use an action potential)]	In the repolarization phase (Phase 3) of the cardiac action potential, CaV channels close, the membrane potential decreases, and KV channels open to allow the efflux of K+ and repolarize the action potential.	Class III AAAs binds to KV channels and prevents them from opening, thereby blocking the flow of K+ out of the cardiomyocyte and slowing (prolonging) cardiomyoctye repolarization, which leads to an increase in action potential duration and an increase in the effective refractory period.
	dofetilide	Tikosyn	antiarrhythmic agent, class III	arrhythmias [specifically: acute treatment of ventricular arrhythmias (e.g., due to myocardial infarction or during cardiac manipulation); also local and regional anesthesia]	blocker	voltage-gated potassium (KV) channels	VGIC expressed on cardiomyocytes  [Also expressed on muscle and nerve cells (i.e., those that use an action potential)]	In the repolarization phase (Phase 3) of the cardiac action potential, CaV channels close, the membrane potential decreases, and KV channels open to allow the efflux of K+ and repolarize the action potential.	Class III AAAs binds to KV channels and prevents them from opening, thereby blocking the flow of K+ out of the cardiomyocyte and slowing (prolonging) cardiomyoctye repolarization, which leads to an increase in action potential duration and an increase in the effective refractory period.
	diltiazem	Cardizem	calcium channel blocker (CCB), nondihydropyridine (non-DHP); antianginal agent; antiarrhythmic agent, class IV; antihypertensive [SFS note: diltiazem is a benzthiazepine, but that is not part of the drug class]	hypertension, angina, atrial fibrillation, and supraventricular tachycardia (SVT)	blocker	voltage-gated calcium (CaV) channel [L-type]
	verapamil	Verelan	calcium channel blocker (CCB), nondihydropyridine (non-DHP); antianginal agent; antiarrhythmic agent, class IV; antihypertensive	hypertension, angina, atrial fibrillation, and supraventricular tachycardia (SVT)	blocker	voltage-gated calcium (CaV) channel [L-type]
12	losartan	Cozaar	antihypertensive, angiotensin II receptor blocker (ARB)	hypertension	reversible orthosteric antagonist	angiotensin II type 1 receptor (AT1R)	GPCR on vascular smooth muscle cells (SMCs)	Angiotensin II activates AT1R to initiate signalling via G-alpha-q, resulting in increased intracellular Ca2+ concentration to stimulate MLCK-dependent cellular contraction that results in vasoconstriction and an increase in blood pressure (aka hypertension)	ARBs selectively prevent angeostensin II from activating the AT1R, thereby blocking the hormone's vasocontrictor and aldosterone-secreting effects to reduce elevated blood pressure
	valsartan	Diovan	antihypertensive, angiotensin II receptor blocker (ARB)	hypertension	reversible orthosteric antagonist	angiotensin II type 1 receptor (AT1R)	GPCR on vascular SMCs	Angiotensin II activates AT1R to initiate signalling via G-alpha-q, resulting in increased intracellular Ca2+ concentration to stimulate MLCK-dependent cellular contraction that results in vasoconstriction and an increase in blood pressure (aka hypertension)	ARBs selectively prevent angeostensin II from activating the AT1R, thereby blocking the hormone's vasocontrictor and aldosterone-secreting effects to reduce elevated blood pressure
	benazepril	Lotensin	antihypertensive, angiotensin converting enzyme inhibitor (ACE-I)	hypertension; heart failure with reduced ejection fraction (HFrEF)	reversible competitive inhibitor	angiotensin-converting enzyme (ACE)	zinc protease enzyme located on endothelial cells in the lungs and kidneys. 	As a part of RAAS, the ACE enzyme converts angiotensin I to angiotension II, which activates AT1R and results in vasoconstriction, aldosterone release, and sodium retention. ACE additionaly degrades bradykinin to inactive peptides, inhibiting nociception. 	As a competitive inhibitor of the angiotensin converting enzyme (ACE), ACE-Is prevent the conversion of angiotensin I to angiotensin II.  This inhibits vasocinstriction, aldosterone release, and Na+ retention to reduce elevated blood pressure
	enalapril	Vasotec; Epaned	antihypertensive, angiotensin converting enzyme inhibitor (ACE-I)	hypertension; heart failure with reduced ejection fraction (HFrEF)	reversible competitive inhibitor	angiotensin-converting enzyme (ACE)	zinc protease enzyme located on endothelial cells in the lungs and kidneys. 	As a part of RAAS, the ACE enzyme converts angiotensin I to angiotension II, which activates AT1R and results in vasoconstriction, aldosterone release, and sodium retention. ACE additionaly degrades bradykinin to inactive peptides, inhibiting nociception. 	As a competitive inhibitor of the angiotensin converting enzyme (ACE), ACE-Is prevent the conversion of angiotensin I to angiotensin II.  This inhibits vasocinstriction, aldosterone release, and Na+ retention to reduce elevated blood pressure
	lisinopril	Zestril; Qbrelis	antihypertensive, angiotensin converting enzyme inhibitor (ACE-I)	hypertension; heart failure with reduced ejection fraction (HFrEF)	reversible competitive inhibitor	angiotensin-converting enzyme (ACE)	zinc protease enzyme located on endothelial cells in the lungs and kidneys. 	As a part of RAAS, the ACE enzyme converts angiotensin I to angiotension II, which activates AT1R and results in vasoconstriction, aldosterone release, and sodium retention. ACE additionaly degrades bradykinin to inactive peptides, inhibiting nociception. 	As a competitive inhibitor of the angiotensin converting enzyme (ACE), ACE-Is prevent the conversion of angiotensin I to angiotensin II.  This inhibits vasocinstriction, aldosterone release, and Na+ retention to reduce elevated blood pressure
	ramipril	Altace	antihypertensive, angiotensin converting enzyme inhibitor (ACE-I)	hypertension; heart failure with reduced ejection fraction (HFrEF)	reversible competitive inhibitor	angiotensin-converting enzyme (ACE)	zinc protease enzyme located on endothelial cells in the lungs and kidneys. 	As a part of RAAS, the ACE enzyme converts angiotensin I to angiotension II, which activates AT1R and results in vasoconstriction, aldosterone release, and sodium retention. ACE additionaly degrades bradykinin to inactive peptides, inhibiting nociception. 	As a competitive inhibitor of the angiotensin converting enzyme (ACE), ACE-Is prevent the conversion of angiotensin I to angiotensin II.  This inhibits vasocinstriction, aldosterone release, and Na+ retention to reduce elevated blood pressure
	furosemide	Lasix	loop diuretic; antihypertensive	edema	blocker	Na+/ K+/ 2Cl- cotransporter (NKCC2 symporter)	solute carrier (symporter) on the thick ascending loop of Henle of the nephron	The Na+/K+/2Cl- cosymporter is in the thick ascending loop of the loop of Henle that works to reabsorb about 25% of Na+, K+, and Cl- ions back into the bloodstream.	Loop diuretics block reabsorption of sodium and chloride in the thick ascending loop of Henle, which increases the excertion of water, sodium, chloride, magnesium, and calcium. By increasing ion and water excretion in the urine, diuretics reduce blood and fluid volume.
	bumetanide	Bumex	loop diuretic; antihypertensive	edema	blocker	Na+/ K+/ 2Cl- cotransporter (NKCC2 symporter)	solute carrier (symporter) on the thick ascending loop of Henle of the nephron	The Na+/K+/2Cl- cosymporter is in the thick ascending loop of the loop of Henle that works to reabsorb about 25% of Na+, K+, and Cl- ions back into the bloodstream.	Loop diuretics block reabsorption of sodium and chloride in the thick ascending loop of Henle, which increases the excertion of water, sodium, chloride, magnesium, and calcium. By increasing ion and water excretion in the urine, diuretics reduce blood and fluid volume.
	torsemide	Soaanz	loop diuretic; antihypertensive	edema	blocker	Na+/ K+/ 2Cl- cotransporter (NKCC2 symporter)	solute carrier (symporter) on the thick ascending loop of Henle of the nephron	The Na+/K+/2Cl- cosymporter is in the thick ascending loop of the loop of Henle that works to reabsorb about 25% of Na+, K+, and Cl- ions back into the bloodstream.	Loop diuretics block reabsorption of sodium and chloride in the thick ascending loop of Henle, which increases the excertion of water, sodium, chloride, magnesium, and calcium. By increasing ion and water excretion in the urine, diuretics reduce blood and fluid volume.
	triamterene	Dyrenium	potassium-sparing diuretic; antihypertensive	hypertension; edema -- for patients who develop hypokalemia on HCTZ alone	blocker	ENaC	sodium ion channel in epithelical cells of the collecting duct and distal convoluted tubule	In the collecting duct, ENaC is activated by aldosterone and reabsorbs a small amount of sodium	Potassium-sparing diuretics block ENaC in the collecting duct, causing a small increase in Na+ excretion. The block of Na+ reabsorption in the collecting duct means that K+ excretion is not increased to balance the cations. By increasing ion and water excretion in the urine, diuretics reduce blood and fluid volume.
	spironolactone	Aldactone; CaroSpir	potassium-sparing diuretic; antihypertensive; mineralocorticoid receptor antagonist (MRA)	heart failure with reduced ejection fraction (HFrEF); hypertension; edema 	reversible orthosteric antagonist 	mineralocorticoid receptor (aka aldosterone receptor)	nuclear receptor in epithelial cells of hte collecting duct and late distal tubule	Aldosterone is a hormone produced by the adrenal gland and acts on the mineralcorticoid receptors (MR) in the distal tubules and collecting ducts of the nephron. It causes changes in the expression of proteins that lead to the reabsorption of sodium and excretion of potassium, thereby increasing fluid retention, blood volume, and blood pressure.	MR antagonists prevent aldosterone from activating MR in the distal tubule, thereby suppressing increased expression of aldosterone-induced proteins (AIPs) to increase Na+ and water excretion, while conserving K+ and H+. By increasing ion and water excretion in the urine, diuretics reduce blood and fluid volume.
	hydrochlorothiazide	Microzide	thiazide diuretic; antihypertensive	hypertension; edema	blocker	NCC symporter (Na+, Cl- co-transporter)	solute carrier (symporter) on the distal convoluted tubule of the nephron	In the distal convoluted tubule, the NCC symporter helps reabsorb about 5% of the Na+ and Cl- ions back into the bloodstream	Thiazide diuretics compete for the Cl- binding site of the NCC symporter, which blocks the reabsorption of sodium and chloride ions back into the bloodstream. By increasing ion and water excretion in the urine, diuretics reduce blood and fluid volume.
	chlorthalidone	N/A	thiazide-like diuretic	hypertension; edema	blocker	NCC symporter (Na+, Cl- co-transporter)	solute carrier (symporter) on the distal convoluted tubule of the nephron	In the distal convoluted tubule, the NCC symporter helps reabsorb about 5% of the Na+ and Cl- ions back into the bloodstream	Thiazide-like diuretics compete for the Cl- binding site of the NCC symporter, which blocks the reabsorption of sodium and chloride ions back into the bloodstream. By increasing ion and water excretion in the urine, diuretics reduce blood and fluid volume.
	lisinopril + hydrochlorothiazide	Zestoretic
	triamterene + hydrochlorothiazide	Maxzide
	valsartan + hydrochlorothiazide	Diovan HCT
	Week 07
13	sacubitril	*sacubitril is only used in combination with valsartan, and thus has no solo brand name*	neprilysin inhibitor	*sacubitril has no solo indications, only used in combination with valsartan*	reversible competitive inhibitor	neprilysin
	sacubitril + valsartan	Entresto	angiotensin II receptor-neprilysin inhibitor (ARNI)	chronic heart failure; symptomatic congestive heart failure, in patients with systemic left ventricular dysfunction
	atenolol	Tenormin	beta-blocker, beta-1 selective; antihypertensive	hypertension (HTN) [SFS note: other indications include angina pectoris caused by CAD, MI]	reversible orthosteric antagonist 	beta-1 AR
	metoprolol	Lopressor (API is metoprolol tartrate); Toprol XL (API is metoprolol succinate)	beta-blocker, beta-1 selective; antihypertensive	hypertension (HTN) [SFS note: other indications include angina pectoris, MI, HFrEF]	reversible orthosteric antagonist 	beta-1 AR
	propranolol	Inderal LA	beta-blocker, nonselective; antihypertensive	hypertension (HTN) [SFS note: other indications include stable angina, cardiac arrythmias, essential tremor]	reversible orthosteric antagonist 	beta-1 AR [SFS note: as a non-selective beta-blocker, propranolol does bind beta-2 ARs but this is not the therapeutic action, but a major contributor to side effects]
	carvedilol	Coreg	beta-blocker with alpha-blocking activity; antihypertensive	hypertension; heart failure with reduced ejection fraction (HFrEF)	reversible orthosteric antagonist 	beta-1 and alpha-1 AR [SFS note: as a non-selective beta-blocker, carvedilol also binds beta-2 ARs;this is not the therapeutic action, but a possible contributor to side effects]
	diltiazem	Cardizem	calcium channel blocker (CCB), nondihydropyridine (non-DHP); antianginal agent; antiarrhythmic agent, class IV; antihypertensive [SFS note: diltiazem is a benzthiazepine, but that is not part of the drug class]	hypertension; angina; atrial fibrillation; supraventricular tachycardia (SVT)	blocker	voltage gated calcium (CaV) channel  [L-type]
	verapamil	Verelan	calcium channel blocker (CCB), nondihydropyridine (non-DHP); antianginal agent; antiarrhythmic agent, class IV; antihypertensive	hypertension; angina; atrial fibrillation; supraventricular tachycardia (SVT)	blocker	CaV channel  [L-type]
	amlodipine	Norvasc	calcium channel blocker (CCB), dihydropyridine (DHP); antianginal agent; antihypertensive	hypertension; angina	allosteric blocker	CaV channel  [L-type]
	nifedipine	Procardia XL	calcium channel blocker (CCB), dihydropyridine (DHP); antianginal agent; antihypertensive	hypertension; angina	allosteric blocker	CaV channel  [L-type]
14	heparin (unfractionated)	BD Heparin PosiFlush	anticoagulant	coagulation disorders [specifically: prophylaxis and treatment of thromboembolic disorders and thromboembolic complications]	activator	antithrombin III
	argatroban	Acova	anticoagulant, direct thrombin inhibitor	coagulation disorders	reversible competitive inhibitor	factor IIa (thrombin)
	apixaban	Eliquis	anticoagulant, factor Xa inhibitor; direct oral anticoagulant (DOAC)	coagulation disorders [specifically: Deep vein thrombosis (DVT), Nonvalvular Atrial Fibrillation, Post-op venous thromboprophylaxis following hip or knee replacement surgery, pulmonary embolism (PE)]	reversible competitive inhibitor	factor Xa
	rivaroxaban	Xarelto	anticoagulant, factor Xa inhibitor; direct oral anticoagulant (DOAC)	coagulation disorders [specifically: Nonvalvular fibrillation, Cornary artery disease, venous thromboemoblism]	reversible competitive inhibitor	factor Xa
	dabigatran	Pradaxa	anticoagulant, direct thrombin inhibitor; direct oral anticoagulant (DOAC)	coagulation disorders [specifically: Nonvalvular fibrillation, Cornary artery disease, venous thromboemoblism]	reversible competitive inhibitor	factor IIa (thrombin)
	enoxaparin	Lovenox	anticoagulant, low molecular weight heparin (LMWH)	coagulation disorders [specifically: Acute Coronary Syndromes (ACS), Deep vein thrombosis (DVT), Venous thromboembolism, prophylaxis]	activator	antithrombin III
	warfarin	Coumadin; Jantoven	anticoagulant, vitamin K antagonist	coagulation disorders [specifically: myocardial infarction; thromboembolic complications]	reversible competitive inhibitor	vitamin K epoxide reductase (VKORC1)
	alteplase	Activase	thrombolytic agent	acute ischemic stroke; ST-elevation myocardial infarction; pulmonary embolism	activator	plasminogen
	tenecteplase	TNKase	thrombolytic agent	ST-elevation myocardial infarction	activator	plasminogen
